ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
188,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
189,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
190,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
191,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
192,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
193,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
194,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
195,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
196,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
197,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
198,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
199,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
200,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
201,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
202,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
203,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
204,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
205,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
206,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
207,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
208,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
209,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
210,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
211,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
212,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
213,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
214,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
215,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
216,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
217,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
218,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
219,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
220,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
221,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
222,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
223,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
224,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
225,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
226,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
227,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
228,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
229,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
230,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
231,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
