Date;Venta
05/10/2021;52896.77
06/10/2021;304494.8
07/10/2021;18464.4
08/10/2021;43723.58
09/10/2021;287962.61
11/10/2021;521693.76
12/10/2021;250238.64
13/10/2021;389538.19
14/10/2021;15841.9
15/10/2021;145873.3
16/10/2021;217465.83
18/10/2021;527170.04
19/10/2021;250921.79
20/10/2021;7873.9
21/10/2021;20963.07
22/10/2021;130386.02
23/10/2021;400671.66
25/10/2021;150456.67
26/10/2021;168675.61
27/10/2021;230635.18
